Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, StatusId, Auto Upgrade
M107E86, 1101, BT, GEN, 1, 18, 39.67, 3, true
M101V31, 1206, MA, GEN, 1, 20, 54.33, 1, true
M114A35, 1204, BT, GEN, 1, 25, 38.67, 3, true
M106R35, 1204, BT, GEN, 1, 26, 38.67, 3, true
M103B82, 1206, MA, GEN, 2, 27, 53, 3, true
M108Y54, 1206, MA, GEN, 1, 28, 52.67, 3, true
M104G72, 1207, PH, GEN, 2, 34, 50.67, 1, true
M119W11, 1503, PH, GEN, 2, 41, 49.33, 3, true
M112J55, 1802, BT, GEN, 1, 46, 35.67, 1, true
M106Q94, 1504, MS, GEN, 1, 47, 46.67, 1, true
M101J97, 1802, BT, GEN, 1, 47, 35.67, 1, true
M106D49, 1207, PH, GEN, 1, 47, 48, 3, true
M103S16, 1207, PH, GEN, 1, 47, 48, 3, true
M118R23, 1802, BT, GEN, 2, 50, 35.33, 1, true
M112T98, 1207, PH, GEN, 1, 52, 47.67, 3, true
M109U10, 1503, PH, GEN, 2, 53, 47.67, 3, true
M103A40, 1207, PH, GEN, 2, 53, 47.67, 3, true
M106R33, 1102, CY, GEN, 1, 53, 65.33, 3, true
M104D20, 1205, CY, GEN, 2, 55, 65, 3, true
M101J85, 1503, PH, GEN, 4, 55, 47.33, 1, true
M106X35, 1503, PH, GEN, 1, 62, 46, 3, true
M105D39, 1503, PH, GEN, 2, 64, 45.67, 3, true
M101S14, 1503, PH, GEN, 2, 66, 45.33, 3, true
M102R63, 1214, MA, GEN, 2, 73, 46.33, 3, true
M106H94, 1905, GG, GEN, 4, 92, 58.67, 1, true
M106Q91, 1502, MA, GEN, 3, 92, 44.67, 3, true
M105A29, 1302, MA, GEN, 3, 95, 44.67, 3, true
M103C14, 1502, MA, GEN, 2, 96, 44.33, 3, true
M105D73, 1502, MA, GEN, 2, 96, 44.33, 3, true
M112Y64, 1215, PH, GEN, 2, 99, 42.67, 3, true
M109A29, 1502, MA, GEN, 1, 99, 44.33, 3, true
M108V87, 1601, CY, GEN, 3, 104, 61, 3, true
M107K22, 1904, GG, OBC, 4, 114, 56, 1, true
M107K47, 1905, GG, OBC, 6, 114, 56, 1, true
M106R32, 1301, CY, GEN, 3, 124, 59.33, 3, true
M106Q70, 1202, PH, GEN, 1, 127, 40.67, 3, true
M105P13, 1202, PH, GEN, 1, 131, 40.33, 3, true
M104D90, 1604, PH, GEN, 1, 135, 40.33, 3, true
M101K47, 2402, PH, GEN, 11, 142, 40, 1, true
M106F38, 1604, PH, GEN, 2, 142, 40, 3, true
M102N51, 1702, MA, GEN, 5, 142, 41, 3, true
M118C33, 1702, MA, GEN, 2, 142, 41, 1, true
M102T12, 1503, PH, OBC, 1, 144, 40, 3, true
M104A86, 1701, CY, GEN, 4, 144, 57.67, 3, true
M104W70, 1303, PH, GEN, 1, 144, 40, 3, true
M104H60, 2402, PH, GEN, 9, 146, 39.67, 1, true
M104F22, 1303, PH, GEN, 1, 147, 39.67, 3, true
M104N74, 1701, CY, GEN, 4, 149, 57.33, 3, true
M110G85, 1702, MA, GEN, 3, 151, 40.33, 3, true
M106S90, 1702, MA, GEN, 2, 151, 40.33, 3, true
M107D94, 1303, PH, GEN, 2, 152, 39.67, 3, true
M105N72, 1303, PH, GEN, 1, 153, 39.33, 3, true
M103Z40, 1702, MA, GEN, 4, 153, 40.33, 3, true
M104H52, 1604, PH, GEN, 4, 154, 39.33, 3, true
M110C17, 1303, PH, GEN, 1, 156, 39, 3, true
M112G93, 1605, GG, OBC, 4, 158, 51.33, 1, true
M105E10, 1702, MA, GEN, 3, 159, 40, 3, true
M107D80, 1604, PH, GEN, 1, 164, 38.67, 3, true
M102T59, 1703, PH, GEN, 4, 166, 38.67, 3, true
M105A13, 1703, PH, GEN, 5, 166, 38.67, 3, true
M101T55, 1401, CY, GEN, 4, 173, 55.67, 1, true
M101P62, 1703, PH, GEN, 1, 175, 38.33, 3, true
M106U27, 1603, MA, GEN, 6, 175, 39, 1, true
M103H57, 1703, PH, GEN, 1, 175, 38.33, 3, true
M111V15, 1703, PH, GEN, 3, 178, 38.33, 3, true
M106B32, 1603, MA, GEN, 6, 180, 39, 3, true
M104F42, 1703, PH, GEN, 4, 182, 38, 3, true
M119F93, 1703, PH, GEN, 5, 183, 38, 3, true
M104P10, 1401, CY, GEN, 4, 184, 55, 3, true
M119N28, 1802, BT, OBC, 1, 188, 27.67, 1, true
M108Q16, 1804, MA, GEN, 5, 188, 38.67, 3, true
M101B67, 1804, MA, GEN, 2, 190, 38.33, 3, true
M109Z52, 1802, BT, OBC, 2, 194, 27.67, 1, true
M106Y77, 1804, MA, GEN, 2, 194, 38.33, 3, true
