application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,status_id
M101G54,1206,MA,GEN,2,f,f,2
M105U90,1501,CY,GEN,1,f,t,2
M104R93,1207,PH,GEN,1,f,f,2
M104R88,1504,MS,GEN,1,f,t,2
M109E24,1302,MA,GEN,2,f,t,2
M103A56,1503,PH,GEN,1,f,t,2
M114D43,1501,CY,GEN,1,f,f,2
M101U54,1303,PH,GEN,1,f,f,2
M102P91,1503,PH,GEN,1,f,t,2
M109W53,1201,GG,GEN,1,f,t,2
M103W69,1102,CY,GEN,1,f,f,2
M103W49,1102,CY,GEN,1,f,t,2
M109J23,1203,MS,GEN,1,f,f,2
M106U10,1206,MA,GEN,1,f,f,2
M117D93,1503,PH,GEN,1,f,f,2
M107K12,1201,GG,GEN,1,f,t,2
M105E39,1201,GG,GEN,1,f,t,2
M101K26,1602,GG,GEN,1,f,t,2
M111H75,1501,CY,GEN,1,f,t,2
M101N25,1201,GG,GEN,1,f,t,2
M114J24,1204,BT,GEN,1,f,t,2
M108M76,1201,GG,GEN,1,f,t,2
M111A64,1204,BT,GEN,1,f,t,2
M110T13,1301,CY,GEN,3,t,t,2
M119M47,1802,BT,GEN,1,f,t,2
M106M76,1602,GG,GEN,1,f,t,2
M102C27,1503,PH,GEN,2,f,t,2
M117A45,1204,BT,GEN,1,f,f,2
M102T61,1201,GG,OBC,1,f,t,2
M105J12,1501,CY,GEN,1,f,t,2
M113B22,1101,BL,SC,1,f,t,2
M108T47,1203,MS,GEN,1,f,t,2
M103J32,1206,MA,GEN,1,f,t,2
M111H78,1501,CY,GEN,1,f,t,2
M106N29,1207,PH,GEN,1,f,t,2
M111B71,1602,GG,GEN,2,f,t,2
M118S37,1205,CY,GEN,2,f,t,2
M104U99,1104,PH,GEN,1,f,t,2
M111G71,1104,PH,GEN,1,f,t,2
M108Y54,1502,MA,GEN,2,t,t,2
M102J64,1104,PH,GEN,1,f,t,2
M109U56,1504,MS,GEN,1,f,t,2
M104F25,1602,GG,GEN,2,f,t,2
M106T13,1504,MS,GEN,1,f,t,2
M109W41,1201,GG,OBC,1,f,t,2
M108X80,1201,GG,GEN,1,f,t,2
M101Z98,1605,GG,GEN,2,t,t,2
M107U76,1203,MS,GEN,1,f,f,2
M102D37,1301,CY,GEN,1,f,t,2
M107B75,1205,CY,GEN,1,f,f,2
M109A10,1801,GG,GEN,2,f,t,3
M120T37,1202,PH,GEN,1,f,t,2
M106U71,1301,CY,GEN,1,f,t,2
M103Z71,1601,CY,GEN,1,f,t,2
M110S75,1502,MA,GEN,2,t,f,2
M106E73,1203,MS,GEN,1,f,t,2
M110C42,1201,GG,OBC,2,f,f,2
