application_id,seat_allotted
M106U10,1206
M107K12,1201
M115W77,1504
M101N25,1201
M105P30,1101
M104R93,1207
M122V96,1204
M109Q87,1206
M115W84,1604
M101G54,1206
M102P91,1503
M110Y28,1101
M103C47,1102
M110J83,1101
M106V51,1206
M103A56,1503
M101S65,1102
M109J23,1203
M105U90,1501
M101U54,1303
M101K26,1602
M105E39,1201
M107X27,1501
M109E24,1302
M106D31,1206
M111A64,1204
M107S99,1501
M109W53,1201
M114D43,1501
M116E25,1302
M112E18,1207
M117D93,1503
M103W69,1102
M101N21,1504
M106S10,1207
M106D28,1206
M107R85,1204
M122G67,1802
M104G53,1503
M116U94,1206
M101C20,1101
M111H75,1501
M104F25,1602
M118S37,1205
M106N29,1207
M119M47,1802
M104U99,1104
M111G71,1104
M102C27,1503
M108Y54,1502
M101G36,1503
M109K57,1203
M106M76,1602
M102J64,1104
M105J12,1501
M102T61,1201
M101P26,1504
M104U59,1503
M113B22,1101
M108T47,1203
M103J32,1206
M108X64,1602
M111H78,1501
M117A45,1204
M111V13,1503
M107S87,1501
M111M37,1210
M111H69,1504
M109C11,1204
M102Y77,1205
M106D86,1503
M108T64,1602
M104A68,1504
M105C65,1503
M119X70,1102
M101Y88,1604
M107S77,1501
M111Z98,1210
M121G21,1207
M103N78,1205
M103D94,1503
M105B82,1504
M109W82,1201
M103Z71,1601
M110U91,1302
M105J88,1203
M111P38,1802
M102N48,1502
M106U71,1301
M102U62,1213
M102M83,1104
M122M82,1802
M110S75,1502
M101W70,1302
M102D37,1301
M108X80,1201
M109A10,1801
M106T13,1504
M105R67,1102
M109W41,1201
M101M12,1904
M109N21,1216
M107B75,1205
M110Z33,1214
M107U76,1203
M111M50,1207
M110C42,1201
M113U31,1210
M105J72,1102
M102T16,1207
M103V90,1601
M106E73,1203
M106J95,1207
M109R18,1502
M106P56,1205
M103K33,1502
M120V92,1206
M122H66,1214
M102J71,1214
M103P41,1303
M107Z12,1205
M109F45,1602
M115A20,1302
M111Y81,1301
M107F17,1801
M117V20,1301
M109G88,1505
M106X35,1303
M106K13,1302
M105H62,1602
M101N45,1204
M103A51,1302
M109A77,1703
M106P61,1303
M107K56,1502
M102D31,1302
M104P70,1215
M103M30,1215
M102Y62,1502
M106G94,1601
M107X22,1602
M103B19,1205
M106U42,1301
M101S14,1303
M107W61,1302
M109J64,1601
M109V36,1202
M101X68,1701
M104J23,1301
M117S23,1905
M109J50,1303
M118U34,1802
M102T33,1502
M104H16,1206
M110R32,1905
M111C45,1703
M105R95,1905
M101P19,1802
M101A17,1303
M113U13,1303
M106D67,1702
M105D87,1601
M109G13,1605
M106A73,1301
M104B84,1604
M107N82,1102
M108P19,1605
M113A52,1303
M104S65,1503
M102H63,1204
M108H16,1302
M106Q91,1702
M107K52,1904
M109P35,1503
M110K89,1213
M101E64,1303
M109D87,1603
M103Z97,1301
M107E45,1205
M101V64,1701
M102G93,1604
M111V91,1604
M108D85,1601
M119G57,1303
M105F52,1904
M107G51,1303
M117U39,1503
M105B35,1206
M104K35,1701
M105K91,1701
M106N88,2301
M115H79,1301
M109P26,1403
M102Y40,1303
M103Q88,1503
M106R91,1204
M109N63,1604
M111Z94,1802
M114T98,1702
M103H23,1301
M106R52,1504
M104X42,1301
M106T75,1504
M109Q73,1302
M103G77,1702
M108R28,1702
M108W70,1502
M101G15,1202
M104S11,1214
M105K41,1503
M103Z66,2003
M101J75,1701
M107K59,1602
M106J32,1604
M101S62,1604
M105V31,2103
M117Y46,1206
M111K18,1302
M104V75,1302
M105M44,1205
M102M88,1605
M102M30,1604
M101M11,1604
M104F98,1504
M102D57,1702
M108R35,1702
M115F21,1215
M106M47,1902
M102M42,1804
M115K28,1204
M108S12,1605
M110E57,1703
M103N68,1604
M108X11,1803
M108P17,1207
M107X44,1301
M118T20,1204
M106M56,1605
M103R30,1403
M101B66,2002
M101E68,1602
M102T23,1401
M105N72,1805
M104D36,1603
M109J65,1204
M101E88,1505
M107G68,1402
M101W74,1206
M109H65,1504
M112Y46,1301
M121Y10,1703
M101J64,1401
M115P89,1503
M104B94,1401
M105X66,1505
M106S31,1102
M104H52,1403
M109F36,1804
M106D45,1802
M103T31,1703
M102H61,1703
M103W95,1301
M103D10,1602
M111N30,1505
M102Q76,1502
M117E60,1603
M105U15,1401
M111F85,1504
M105D57,1804
M120Z61,1204
M104H80,1601
M103S94,1605
M108Q45,1201
M105Q21,1203
M114W95,1603
M106V25,1603
M107F72,1401
M110F92,1802
M101U33,2003
M112F79,1204
M113Z56,1302
M105H40,1602
M104P10,2101
M101N55,1604
M103J22,1402
M107D13,1402
M112R83,2102
M103N27,2201
M102V43,2101
M103F38,2203
M115D72,1805
M117H28,1403
M115T47,1402
M101W27,1402
M120K69,1504
M111V29,1402
M108N36,1402
M104G64,2101
M106E67,2001
M112Q89,1104
M102F52,1216
M109X22,1203
M109Z11,1502
M108N97,1303
M107K95,2201
M116R74,1203
M106Y25,1216
M115T77,1805
M102G33,2103
M104N15,1104
M107K64,1201
M103V91,1203
M102D28,1805
M111R13,1403
M105X23,2101
M107V35,2303
M110A64,2001
M106K53,1403
M107R60,1602
M110J46,1504
M104M65,2202
M108B65,1203
M118K80,2003
M107T44,2001
M102F29,1215
M102K25,2102
M112A25,1302
M104A44,1604
M113E71,1605
M104U62,2001
M112G96,1801
M112P33,1801
M110U42,1212
M107E83,1205
M122B31,2303
M110T36,2001
M105D54,1601
M102F77,2102
M106Q49,2001
M106K80,2102
M122G13,1302
M110Q61,1302
M106D37,2001
M104V59,1203
M108U21,2302
M113U15,2403
M105P15,1203
M116X10,1501
M101P81,2401
M102K63,1703
M101N64,2103
M112J25,1204
M106Q12,2302
M120P32,1303
M109X44,2102
M108V16,1302
M106H13,2301
M104Z85,2203
M108M26,2403
M111N80,2103
M110U74,2203
M107T22,2302
M111T61,2401
M102U90,2202
M104U38,1903
M110C43,2403
M102R90,1902
M108J95,1904
M105J57,1202
M107X67,2303
M101W95,1702
M108X39,1501
M108Y57,1207
M105N59,1601
M110U56,1804
M103H55,1202
M106T29,1303
M106K82,1804
M117E47,2403
M101Y21,1805
M108U14,2402
M106D49,1604
M110S56,1804
M101A16,1214
M102V68,1902
M116A89,1403
M111G77,2402
M108E14,1804
M113W66,2402
M111B45,1604
M106W60,1905
M108F42,1701
M104C82,1103
M107P53,1802
M105H80,1303
M108R47,1301
M105A28,1301
M104N90,1702
M107G80,1205
M109K78,1905
M103J90,1601
M112S16,1504
M103J83,1212
M108M99,1302
M114W52,1501
M106W33,2203
M114X99,1203
M118W88,1802
M114J83,1215
M103B33,1905
M102S31,1212
M110D57,1905
M116B33,1212
M107Z25,1603
M106D57,1805
M107S65,1501
M107U96,1603
M107P36,1402
M106K79,1101
M103V19,1303
M107N69,1401
M117J34,1501
M107H47,1501
M122E29,1802
M107R42,1604
M104S28,1301
M104D15,1302
M107C15,1703
M105A87,1402
M102M73,1805
M109N41,1212
M105J36,1501
M105K80,1501
M104E36,2301
M113A18,1601
M109P78,1604
M102E63,1702
M103Q35,1604
M112S29,1604
M105W42,1501
M104D67,1402
M106Z30,1201
M103A26,1301
M109S85,1703
M115D98,1902
M102N67,1205
M102Q95,1702
M107E54,1601
M109H62,1213
M104J78,1402
M105P62,1601
M107Y56,1605
M105W39,1402
M109M40,1402
M111G92,1402
M110G11,2002
M111H55,2002
M103V83,2203
M115D29,1803
M115V31,1905
M105F15,1701
M101Q92,2403
M108K64,2101
M111X25,1804
M103B57,1301
M101R72,2001
M108S94,2101
M105G82,2001
M107Y89,1903
M105U61,1403
M101S59,1401
M110E13,1403
M101T95,1403
M114R82,2003
M111Q54,1703
M106J86,1701
M109P53,2302
M105B67,1202
M122B38,1604
M101N52,1604
M109Q80,1703
M101T15,1403
M101W49,1302
M113Z47,1302
M112C60,1802
M106U79,1701
M107Y71,1401
M117K53,1504
M104F26,2101
M109M22,1213
M103B83,1403
M109K47,1403
M117U43,1801
M107K79,1302
M102C41,1301
M104V63,1602
M102N63,1401
M105H15,1301
M107M21,1901
M106Z54,1602
M106R19,1802
M111Y71,1802
M112V65,1802
M102Z38,1403
M102C39,2103
M104V89,1501
M103H30,1701
M109Z31,1702
M106W66,1603
M102N49,1604
M110B49,1401
M104X92,1214
M110N43,2202
M117V35,2303
M105X64,1605
M108X34,1701
M107E46,2302
M104J87,1902
M107A75,2303
M113X58,1605
M119H10,1703
M101X14,2001
M107Y34,1403
M111J94,1901
M112H15,1504
M110R28,1901
M105U50,1504
M101D76,1805
M117S91,2201
M108Y67,1207
M108S39,1207
M112S93,1302
M101Y99,1804
M114S23,2002
M116P79,1205
M121R18,1603
M109V85,1905
M117B78,2402
M121U41,1303
M104Q51,1212
M108P30,1703
M106V11,1303
M116E33,2302
M114Y61,1803
M108N52,1601
M106C21,2001
M103B44,1502
M111B19,1402
M106B24,1216
M109E15,2103
M102E90,1402
M102F76,1403
M120S36,1805
M106D65,1702
M118X59,2002
M102Q60,1901
M102G44,1301
M117D56,2203
M115G16,2101
M105M61,1303
M115D67,2103
M105U73,1403
M103Y50,1605
M110A13,1603
M111G51,2103
M114X88,1703
M118R93,1502
M116A68,1102
M102U72,1402
M103V61,1902
M114X25,2202
M104U29,1703
M114C18,1905
M105V93,1207
M101V28,1503
M110W96,1703
M106D96,1301
M102C49,2102
M115G57,1303
M102T81,1101
M116C24,1903
M104S59,2202
M113Q83,2003
M116D25,1901
M107F15,1502
M115H30,1303
M116W19,2403
M110V72,1403
M108P37,1804
M103E36,1701
