application_id,seat_allotted,paper,quota,choice_no,round,is_submitted,is_rejected,remark,status_id,bank_challan_path,is_provisional,declaration_form_path,undertaking_form_path,auto_upgrade,acceptance_doc_path,acceptance_timestamp
M109Q87,1206,MA,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M103C47,1102,CY,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M110J83,1101,BT,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M106V51,1206,MA,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M116E25,1302,MA,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M110Y28,1101,BL,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M101G36,1503,PH,GEN,2,1,f,f,null,5,null,f,null,null,t,null,null
M104U59,1503,PH,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M111V13,1503,PH,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M106D86,1503,PH,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M101Y88,1604,PH,GEN,3,1,f,f,null,5,null,t,null,null,t,null,null
M110Z33,1214,MA,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M102T16,1207,PH,GEN,3,1,f,f,null,5,null,f,null,null,t,null,null
M106J95,1207,PH,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M103P41,1303,PH,GEN,4,1,f,f,null,5,null,t,null,null,t,null,null
M106S10,1207,PH,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M106D28,1206,MA,GEN,2,1,f,f,null,5,null,f,null,null,t,null,null
M107R85,1204,BT,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M122G67,1802,BT,GEN,4,1,f,f,null,5,null,t,null,null,t,null,null
M104G53,1503,PH,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M121G21,1207,PH,GEN,3,1,f,f,null,5,null,t,null,null,t,null,null
M103N78,1205,CY,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M103D94,1503,PH,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M105B82,1504,MS,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M102T33,1502,MA,GEN,3,1,f,f,null,5,null,t,null,null,t,null,null
M111C45,1703,PH,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M105R95,1905,GG,GEN,5,1,f,f,null,5,null,t,null,null,t,null,null
M104B84,1604,PH,GEN,2,1,f,f,null,5,null,f,null,null,t,null,null
M106R91,1204,BT,OBC,1,1,t,f,null,5,null,t,null,/mnt/nas/nas1/set37/bucket47/M106R91/M106R91-ch-20150619114023916,f,/mnt/nas/nas1/set37/bucket47/M106R91/M106R91-ch-20150619113906832,2015-06-19 11:55:19.171606
M111V91,1604,PH,GEN,3,1,f,f,null,5,null,t,null,null,t,null,null
M105F52,1904,GG,OBC,4,1,f,f,null,5,null,t,null,null,t,null,null
M106N88,2301,MA,GEN,5,1,f,f,null,5,null,t,null,null,t,null,null
M103Q88,1503,PH,OBC,1,1,f,f,null,5,null,t,null,null,t,null,null
M114T98,1702,MA,GEN,3,1,f,f,null,5,null,t,null,null,t,null,null
M108R28,1702,MA,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M101G15,1202,PH,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M101M11,1604,PH,GEN,3,1,f,f,null,5,null,t,null,null,t,null,null
M108R35,1702,MA,GEN,3,1,f,f,null,5,null,t,null,null,t,null,null
M110E57,1703,PH,GEN,1,1,f,f,null,5,null,t,null,null,t,null,null
M108P17,1207,PH,OBC,3,1,f,f,null,5,null,f,null,null,t,null,null
M106M56,1605,GG,OBC,5,1,f,f,null,5,null,t,null,null,t,null,null
M103R30,1403,PH,GEN,4,1,f,f,null,5,null,t,null,null,t,null,null
M101B66,2002,MA,GEN,6,1,f,f,null,5,null,f,null,null,t,null,null
M101E68,1602,GG,SC,1,1,f,f,null,5,null,t,null,null,t,null,null
M102T23,1401,CY,GEN,7,1,f,f,null,5,null,t,null,null,t,null,null
M121Y10,1703,PH,GEN,4,1,f,f,null,5,null,f,null,null,t,null,null
M106D45,1802,BT,OBC,2,1,f,f,null,5,null,t,null,null,t,null,null
M103T31,1703,PH,GEN,6,1,f,f,null,5,null,t,null,null,t,null,null
M103D10,1602,GG,SC,1,1,f,f,null,5,null,t,null,null,t,null,null
M103S94,1605,PH,GEN,2,1,f,f,null,5,null,t,null,null,t,null,null
M107F72,1401,CY,GEN,4,1,f,f,null,5,null,t,null,null,t,null,null
M110F92,1802,BT,OBC,1,1,f,f,null,5,null,t,null,null,t,null,null
M112F79,1204,BT,OBC,3,1,f,f,null,5,null,t,null,null,t,null,null
M115D98,1902,MA,OBC,2,1,t,f,null,5,null,t,/mnt/nas/nas3/set54/bucket62/M115D98/M115D98-ch-20150619141256059,/mnt/nas/nas3/set54/bucket62/M115D98/M115D98-ch-20150619141438293,t,/mnt/nas/nas3/set54/bucket62/M115D98/M115D98-ch-20150619141240306,2015-06-19 14:15:40.862781
M102V43,2101,CY,GEN,10,1,f,f,null,5,null,t,null,null,t,null,null
M110A64,2001,CY,GEN,5,1,f,f,null,5,null,f,null,null,t,null,null
M107R60,1602,GG,SC,1,1,f,f,null,5,null,t,null,null,t,null,null
M110J46,1504,MS,SC,1,1,f,f,null,5,null,t,null,null,t,null,null
M104M65,2202,PH,GEN,5,1,f,f,null,5,null,t,null,null,t,null,null
M118K80,2003,PH,GEN,11,1,f,f,null,5,null,t,null,null,t,null,null
M102F29,1215,PH,OBC,1,1,f,f,null,5,null,f,null,null,t,null,null
M104U62,2001,CY,GEN,10,1,f,f,null,5,null,f,null,null,t,null,null
M112P33,1801,GG,SC,3,1,f,f,null,5,null,t,null,null,t,null,null
M116X10,1501,CY,OBC,1,1,f,f,null,5,null,t,null,null,t,null,null
M108M26,2403,MA,GEN,5,1,f,f,null,5,null,t,null,null,t,null,null
M111T61,2401,CY,GEN,13,1,f,f,null,5,null,t,null,null,t,null,null
M102R90,1902,MA,GEN,8,1,f,f,null,5,null,t,null,null,t,null,null
M108J95,1904,GG,SC,4,1,f,f,null,5,null,t,null,null,t,null,null
M107X67,2303,PH,GEN,15,1,f,f,null,5,null,t,null,null,t,null,null
M103H55,1202,PH,OBC,2,1,f,f,null,5,null,t,null,null,t,null,null
M104N90,1702,MA,OBC,4,1,f,f,null,5,null,t,null,null,t,null,null
M109K78,1905,PH,GEN,14,1,f,f,null,5,null,t,null,null,t,null,null
M109E15,2103,PH,SC,2,1,t,f,null,5,null,t,/mnt/nas/nas3/set33/bucket74/M109E15/M109E15-ch-20150620113243933,/mnt/nas/nas3/set33/bucket74/M109E15/M109E15-ch-20150620113256026,f,/mnt/nas/nas3/set33/bucket74/M109E15/M109E15-ch-20150620113231676,2015-06-20 11:34:51.126064
M103J83,1212,CY,GEN,8,1,f,f,null,5,null,t,null,null,t,null,null
M118W88,1802,BT,SC,2,1,f,f,null,5,null,t,null,null,t,null,null
M113A18,1601,CY,OBC,3,1,f,f,null,5,null,f,null,null,t,null,null
M104J78,1402,MA,OBC,6,1,f,f,null,5,null,t,null,null,t,null,null
M107Y56,1605,PH,SC,5,1,f,f,null,5,null,t,null,null,t,null,null
M105W39,1402,MA,OBC,8,1,f,f,null,5,null,t,null,null,t,null,null
M115D29,1803,CY,OBC,7,1,f,f,null,5,null,t,null,null,t,null,null
M117U43,1801,GG,ST,2,1,f,f,null,5,null,t,null,null,t,null,null
M110B53,1702,MA,ST,1,1,f,f,null,5,null,t,null,null,t,null,null
M114W62,2003,PH,ST,6,1,f,f,null,5,null,t,null,null,t,null,null
M117S88,1207,PH,GEN-PwD,1,1,f,f,null,5,null,f,null,null,t,null,null
M120C14,2001,CY,ST,2,1,f,f,null,5,null,t,null,null,t,null,null
M105T85,1701,CY,ST,6,1,f,f,null,5,null,f,null,null,t,null,null
M106Z54,1602,GG,ST,1,1,f,f,null,5,null,t,null,null,t,null,null
M112V65,1802,BT,ST,3,1,f,f,null,5,null,t,null,null,t,null,null
M111J94,1901,CY,OBC,4,1,f,f,null,5,null,t,null,null,t,null,null
M101Y99,1804,MA,SC,2,1,f,f,null,5,null,t,null,null,t,null,null
M106V11,1303,PH,SC,1,1,f,f,null,5,null,t,null,null,t,null,null
M106B24,1216,PH,SC,5,1,f,f,null,5,null,t,null,null,t,null,null
M102E90,1402,MA,SC,3,1,f,f,null,5,null,t,null,null,t,null,null
M102F76,1403,PH,SC,7,1,f,f,null,5,null,t,null,null,t,null,null
M115G16,2101,CY,SC,3,1,f,f,null,5,null,t,null,null,t,null,null
M118R93,1502,MA,ST,3,1,f,f,null,5,null,f,null,null,t,null,null
M114C18,1905,CY,SC,9,1,f,f,null,5,null,t,null,null,t,null,null
M110W96,1703,PH,GEN-PwD,1,1,f,f,null,5,null,t,null,null,t,null,null
M107F15,1502,MA,ST,3,1,f,f,null,5,null,t,null,null,t,null,null
M106F24,1403,PH,GEN-PwD,5,1,f,f,null,5,null,t,null,null,t,null,null
M104H13,1601,CY,ST,1,1,f,f,null,5,null,t,null,null,t,null,null
M107R25,1212,PH,SC,19,1,f,f,null,5,null,t,null,null,t,null,null
M111G37,2102,MA,ST,6,1,f,f,null,5,null,t,null,null,t,null,null
M118H67,2401,CY,ST,3,1,f,f,null,5,null,t,null,null,t,null,null
M102N12,1802,BT,GEN,1,1,f,f,null,5,null,t,null,/mnt/nas/nas2/set62/bucket32/M102N12/M102N12-ch-20150615224003628,t,null,null
M120M90,2103,PH,ST,2,1,t,f,null,5,null,t,/mnt/nas/nas1/set84/bucket86/M120M90/M120M90-ch-20150618133911106,/mnt/nas/nas1/set84/bucket86/M120M90/M120M90-ch-20150618133927546,t,/mnt/nas/nas1/set84/bucket86/M120M90/M120M90-ch-20150618133850837,2015-06-18 13:40:03.464203
M101H97,1702,MA,ST,3,1,t,f,null,5,null,t,/mnt/nas/nas2/set91/bucket64/M101H97/M101H97-ch-20150618095440727,/mnt/nas/nas2/set91/bucket64/M101H97/M101H97-ch-20150618095802721,t,/mnt/nas/nas2/set91/bucket64/M101H97/M101H97-ch-20150618095133144,2015-06-18 10:00:37.443047
M103B44,1502,MA,ST,3,1,t,f,null,5,null,t,/mnt/nas/nas1/set72/bucket66/M103B44/M103B44-ch-20150618190613045,/mnt/nas/nas1/set72/bucket66/M103B44/M103B44-ch-20150618190643784,t,/mnt/nas/nas1/set72/bucket66/M103B44/M103B44-ch-20150618190612405,2015-06-18 19:10:38.216764
